index_id,id,semantic,label,semantic_id
13701,MGI:1919161,gene,Bdh1,4
13702,WBPhenotype:0001865,phenotype,protein ubiquitination variant,8
13703,RGD:1586163,gene,Dmxl2,4
13704,MP:0005181,phenotype,decreased circulating estradiol level,8
13705,WBPhenotype:0001445,phenotype,sodium acetate adaptation defective,8
13706,MGI:3647514,gene,Gm7030,4
13707,RGD:2320860,gene,LOC100364500,4
13708,HP:0008628,phenotype,Abnormality of the stapes,8
13709,dictyBase:DDB_G0279327,gene,cnrP,4
13710,Xenbase:XB-GENE-942203,gene,commd3,4
13711,ENSEMBL:ENSMMUG00000012912,gene,ENSEMBL:ENSMMUG00000012912,4
13712,ZP:0002647,phenotype,"dorsal longitudinal anastomotic vessel malformed, abnormal",8
13713,ZP:0001663,phenotype,"axon motor neuron increased branchiness, abnormal",8
13714,WBPhenotype:0000699,phenotype,vulva development variant,8
13715,PomBase:SPBC1E8.02,gene,SPBC1E8.02,4
13716,ENSEMBL:ENSECAG00000024801,gene,ENSEMBL:ENSECAG00000024801,4
13717,WormBase:WBGene00017159,gene,F01F1.2,4
13718,MP:0000952,phenotype,abnormal CNS glial cell morphology,8
13719,ZP:0010101,phenotype,"pharyngeal arch 1 mislocalised ventrally, abnormal",8
13720,MP:0008191,phenotype,abnormal follicular B cell physiology,8
13721,MGI:104662,gene,Pml,4
13722,ZP:0003667,phenotype,"pre-miRNA processing disrupted, abnormal",8
13723,ENSEMBL:ENSACAG00000008108,gene,ENSEMBL:ENSACAG00000008108,4
13724,EnsemblGenome:AT5G62690,gene,EnsemblGenome:AT5G62690,4
13725,ZFIN:ZDB-GENE-040426-1728,gene,eif4e2rs1,4
13726,HP:0011229,phenotype,Broad eyebrow,8
13727,HGNC:6838,gene,MAP1LC3A,4
13728,ZP:0000776,phenotype,"whole organism decreased life span, abnormal",8
13729,MP:0001522,phenotype,impaired swimming,8
13730,ENSEMBL:ENSPTRG00000009578,gene,ENSEMBL:ENSPTRG00000009578,4
13731,ZP:0103449,phenotype,"breeding tubercle male organism decreased amount, abnormal",8
13732,ENSEMBL:ENSMMUG00000020943,gene,ENSEMBL:ENSMMUG00000020943,4
13733,ENSEMBL:ENSMMUG00000002332,gene,ENSEMBL:ENSMMUG00000002332,4
13734,HGNC:30899,gene,ZNF655,4
13735,Coriell:GM04231,biological artifact,NIGMS-GM04231,0
13736,ENSEMBL:ENSOANG00000016047,gene,ENSEMBL:ENSOANG00000016047,4
13737,ZP:0000638,phenotype,"post-vent region curved ventral, abnormal",8
13738,ENSEMBL:ENSECAG00000022083,gene,ENSEMBL:ENSECAG00000022083,4
13739,HP:0001342,phenotype,Cerebral hemorrhage,8
13740,MP:0000383,phenotype,abnormal hair follicle orientation,8
13741,ZP:0000692,phenotype,"blood circulation absent, abnormal",8
13742,ENSEMBL:ENSFCAG00000048955,gene,ENSEMBL:ENSFCAG00000048955,4
13743,WBPhenotype:0000469,phenotype,Q neuroblast lineage migration variant,8
13744,MP:0002188,phenotype,small heart,8
13745,HP:0200016,phenotype,Acrokeratosis,8
